pos_x,pos_y,target_speed
414.0029602050781,-206.9293975830078,41.6
412.4525451660156,-206.82241821289065,44.800000000000004
410.90911865234375,-206.7150421142578,48.00000000000001
409.3783264160156,-206.60716247558597,51.2
407.8624267578125,-206.4984893798828,54.400000000000006
406.3603210449219,-206.3885498046875,57.60000000000001
404.8680419921875,-206.27679443359372,60.80000000000001
403.38079833984375,-206.16275024414065,64.00000000000001
401.8938598632813,-206.04612731933597,67.20000000000002
400.4041137695313,-205.92678833007807,70.40000000000002
398.90966796875,-205.80484008789065,73.60000000000002
397.4101867675781,-205.680419921875,76.80000000000003
395.9063720703125,-205.5538024902344,80.0
394.399169921875,-205.42530822753903,80.0
392.8895263671875,-205.29519653320312,80.0
391.3782958984375,-205.16375732421875,80.0
389.8660888671875,-205.03109741210935,80.0
388.3532409667969,-204.89749145507807,80.0
386.8399353027344,-204.7629852294922,80.0
385.3262939453125,-204.6277313232422,80.0
383.81243896484375,-204.4917755126953,80.0
382.2982482910156,-204.3552703857422,80.0
380.7837829589844,-204.2183074951172,80.0
379.2690124511719,-204.08102416992188,80.0
377.7539978027344,-203.9434509277344,80.0
373.113037109375,-203.52120971679688,80.0
371.5338134765625,-203.3774261474609,80.0
369.9543151855469,-203.2330780029297,80.0
368.3742980957031,-203.08840942382807,80.0
366.7942504882813,-202.9429168701172,80.0
365.2137451171875,-202.79730224609372,80.0
363.6331787109375,-202.65126037597656,80.0
362.0523681640625,-202.50477600097656,80.0
360.4712219238281,-202.35745239257807,80.0
358.8900451660156,-202.2098846435547,80.0
357.3086853027344,-202.06301879882807,80.0
355.7273254394531,-201.91590881347656,80.0
354.1459655761719,-201.7679748535156,80.0
352.5646057128906,-201.6190643310547,80.0
350.9832458496094,-201.46966552734372,80.0
349.4018859863281,-201.3194122314453,80.0
347.8206787109375,-201.16807556152344,80.0
346.2394714355469,-201.0155792236328,80.0
344.65850830078125,-200.86204528808597,80.0
343.0775451660156,-200.7074279785156,80.0
341.49658203125,-200.5512542724609,80.0
339.9156188964844,-200.3934631347656,80.0
338.3344421386719,-200.23439025878903,80.0
336.7530822753906,-200.0741729736328,80.0
335.1717224121094,-199.91270446777344,80.0
333.5903625488281,-199.74966430664065,80.0
332.00897216796875,-199.58485412597656,80.0
330.42724609375,-199.41880798339844,80.0
328.845458984375,-199.25148010253903,80.0
327.26336669921875,-199.08306884765625,80.0
325.68096923828125,-198.9144744873047,80.0
324.09820556640625,-198.74554443359372,80.0
322.5150756835937,-198.5762481689453,80.0
320.9313049316406,-198.4069061279297,80.0
319.34698486328125,-198.23794555664065,80.0
317.76220703125,-198.0694580078125,80.0
316.1769714355469,-197.90174865722656,80.0
314.59100341796875,-197.73448181152344,80.0
313.004638671875,-197.56719970703125,80.0
311.4177551269531,-197.40045166015625,80.0
309.830322265625,-197.23410034179688,80.0
308.2425231933594,-197.0681915283203,80.0
306.6544494628906,-196.9026641845703,80.0
305.0659484863281,-196.7373809814453,80.0
303.47711181640625,-196.5720977783203,80.0
301.88775634765625,-196.40757751464844,80.0
300.29803466796875,-196.2433319091797,80.0
298.7079467773437,-196.07911682128903,80.0
297.1175231933594,-195.9142303466797,80.0
295.5267639160156,-195.7496490478516,80.0
293.9355773925781,-195.5849456787109,80.0
292.34423828125,-195.41970825195312,80.0
290.7524108886719,-195.2544708251953,80.0
289.16033935546875,-195.08905029296875,80.0
287.5680236816406,-194.9234313964844,80.0
285.9754333496094,-194.75717163085935,80.0
284.382568359375,-194.5905303955078,80.0
282.7893981933594,-194.4235382080078,80.0
281.19580078125,-194.2556915283203,80.0
279.6020202636719,-194.0871734619141,80.0
278.0079650878906,-193.9186248779297,80.0
276.4136657714844,-193.74981689453125,80.0
274.8191223144531,-193.58026123046875,80.0
273.2242736816406,-193.41001892089844,80.0
271.62908935546875,-193.2393493652344,80.0
270.0335388183594,-193.0685272216797,80.0
268.4378662109375,-192.8968811035156,80.0
266.8418273925781,-192.7248077392578,80.0
265.2455444335937,-192.55245971679688,80.0
263.6490478515625,-192.380126953125,80.0
262.0520935058594,-192.2076110839844,80.0
260.4548034667969,-192.0347442626953,80.0
258.857177734375,-191.8620147705078,80.0
257.2592163085937,-191.6896209716797,80.0
255.66082763671875,-191.51730346679688,80.0
254.062255859375,-191.3452606201172,80.0
252.46327209472656,-191.1734619140625,80.0
250.8639373779297,-191.00148010253903,80.0
249.26426696777344,-190.8297882080078,80.0
247.6641387939453,-190.65826416015625,80.0
246.0635681152344,-190.4869537353516,80.0
244.46273803710935,-190.3159637451172,80.0
242.86167907714844,-190.1454620361328,80.0
241.26026916503903,-189.97503662109372,80.0
239.6584930419922,-189.80438232421875,80.0
238.0564117431641,-189.6339569091797,80.0
236.45394897460935,-189.4640350341797,80.0
234.8510589599609,-189.2944793701172,80.0
233.247802734375,-189.12550354003903,80.0
231.64419555664065,-188.9569549560547,80.0
230.04031372070312,-188.7887725830078,80.0
228.43606567382807,-188.62083435058597,80.0
226.83140563964844,-188.45333862304688,80.0
225.22642517089844,-188.28599548339844,80.0
223.62098693847656,-188.11900329589844,80.0
222.01531982421875,-187.9522399902344,80.0
220.40933227539065,-187.78564453125,80.0
218.8029327392578,-187.6192169189453,80.0
217.1962890625,-187.452880859375,80.0
215.5892333984375,-187.28680419921875,80.0
213.9818420410156,-187.1207733154297,80.0
212.37417602539065,-186.95494079589844,80.0
210.7662506103516,-186.78907775878903,80.0
209.1578826904297,-186.62310791015625,80.0
207.54928588867188,-186.45721435546875,80.0
205.94032287597656,-186.2915496826172,80.0
204.3309631347656,-186.1262359619141,80.0
202.7212829589844,-185.96128845214844,80.0
201.111328125,-185.79672241210935,80.0
199.5010681152344,-185.63238525390625,80.0
197.8903961181641,-185.46864318847656,80.0
196.279296875,-185.30560302734372,80.0
194.66783142089844,-185.1433868408203,80.0
193.0560607910156,-184.98208618164065,80.0
191.4438323974609,-184.8216552734375,80.0
189.83120727539065,-184.6622467041016,80.0
188.21826171875,-184.50396728515625,80.0
186.6048583984375,-184.3466796875,80.0
184.9909820556641,-184.190185546875,80.0
183.3768310546875,-184.0341796875,80.0
181.76242065429688,-183.8785552978516,80.0
180.14768981933597,-183.72320556640625,80.0
178.5325469970703,-183.56822204589844,80.0
176.9169921875,-183.4134979248047,80.0
175.30120849609375,-183.2586669921875,80.0
173.6850128173828,-183.10397338867188,80.0
172.06863403320312,-182.94956970214844,80.0
170.4519500732422,-182.7956695556641,80.0
168.83486938476562,-182.64208984375,80.0
167.21742248535156,-182.48855590820312,80.0
165.7240753173828,-182.3468475341797,80.0
164.23048400878906,-182.20530700683597,80.0
162.73666381835938,-182.06365966796875,80.0
161.24252319335938,-181.92190551757807,80.0
159.74830627441406,-181.77999877929688,80.0
158.2537841796875,-181.6380920410156,80.0
156.75894165039062,-181.49603271484372,80.0
155.26390075683594,-181.35394287109372,80.0
153.7686004638672,-181.21177673339844,80.0
152.27304077148438,-181.06936645507807,80.0
150.77725219726562,-180.92694091796875,80.0
149.2812042236328,-180.78448486328125,80.0
147.78489685058594,-180.6419677734375,80.0
146.28831481933594,-180.4993438720703,80.0
144.79144287109375,-180.3569183349609,80.0
143.29434204101562,-180.21456909179688,80.0
141.79701232910156,-180.07225036621094,80.0
140.2995147705078,-179.93016052246094,80.0
138.80189514160156,-179.78817749023438,80.0
137.30409240722656,-179.64642333984375,80.0
135.80615234375,-179.5047149658203,80.0
134.30799865722656,-179.36306762695312,80.0
132.8097686767578,-179.2216033935547,80.0
131.3114776611328,-179.08058166503906,80.0
129.81312561035156,-178.93966674804688,80.0
128.31472778320312,-178.79843139648438,80.0
126.81617736816406,-178.65707397460938,80.0
125.31745910644533,-178.51560974121094,80.0
123.81871032714844,-178.3740692138672,80.0
122.31990051269533,-178.23263549804688,80.0
120.82106018066406,-178.09127807617188,80.0
119.32215881347656,-177.94984436035156,80.0
